,region,day,production_price_change,demand_exceedance,capacity_utilization_change
0,NJ,0,0.0,2.220446049250313e-16,0.0
1,NJ,1,0.0,2.220446049250313e-16,0.0
2,NJ,2,0.0,2.220446049250313e-16,0.0
3,NJ,3,0.0,2.220446049250313e-16,0.0
4,NJ,4,0.0,2.220446049250313e-16,0.0
5,NJ,5,1.3322676295501878e-15,2.3000544647407524,0.010000001485205523
6,NJ,6,0.012340891955425315,1.3013463807336816,0.010860921836558957
7,NJ,7,0.01928542722669624,1.0234455657794173,0.012859659324657269
8,NJ,8,0.023779789605968826,0.8190997957768194,0.014161173555823803
9,NJ,9,0.027465173695351952,0.6761351696781677,0.014725706028104302
10,NJ,10,0.029892938051801377,0.5605866925946104,0.015790708283031973
11,NJ,11,0.032229079481564726,0.4689080178509153,0.016476966800220483
12,NJ,12,0.03400345066778421,0.39367457977370246,0.017033429066787953
13,NJ,13,0.03545479022956699,0.32533525687138876,0.017416518737667364
14,NJ,14,0.036605045068023534,0.2777893453412037,0.01773014630049219
15,NJ,15,0.03753115213876468,0.24552927754312526,0.017951160047552817
16,NJ,16,0.03829215320715296,0.22313637953614385,0.018126748519524227
17,NJ,17,0.03891829397222324,0.1969109703230425,0.018250292792095557
18,NJ,18,0.0394086086073373,0.1815694133943615,0.018343614608271608
19,NJ,19,0.03987326813054248,0.16315663313897688,0.018404124828886648
20,NJ,20,0.04025846179356729,0.1486944811495221,0.018452144673448245
21,NJ,21,0.040573618695860736,0.13159088553470544,0.018481938543407184
22,NJ,22,0.040841443958438806,0.11723422515052007,0.018496673266618968
23,NJ,23,0.041082091986665015,0.10382026465559324,0.018501484061497653
24,NJ,24,0.041265220173020145,0.09187979912114841,0.01848141087137445
25,NJ,25,0.04142471644313406,0.08215879254818526,0.018495122518428664
26,NJ,26,0.041561981490058075,0.07303929702297962,0.018484772551087936
27,NJ,27,0.04167751148311627,0.06419429459487724,0.01846629202848149
28,NJ,28,0.04176376286357408,0.05746738635990467,0.01844322326450265
29,NJ,29,0.041846870531179414,0.05016376199868211,0.018417911519650776
30,NJ,30,0.04190566642255433,0.04550866229304318,0.018383947374458698
31,NJ,31,0.041955039742493705,0.040444340257552724,0.018338870424146725
32,NJ,32,0.04199083967168504,0.035838185533008104,0.01821525144192715
33,NJ,33,0.04201301932983936,0.027120395441612377,0.01782595385251451
34,NJ,34,0.0419818442420028,0.030215236571550674,0.013303854228370104
35,NJ,35,0.038737140024450945,0.024832650806391188,0.016569126319722294
36,NJ,36,0.03977439615449008,0.023395323438090143,0.015175523755017073
37,NJ,37,0.03704482668434972,0.021932012743467677,0.01443003224204098
38,NJ,38,0.03628064579569301,0.015541317450229464,0.014457388398713134
39,NJ,39,0.037209959165604545,-0.05429283362341364,0.010162247241302769
40,NJ,40,0.027849286305315468,0.12939017486498994,-0.06164476877056879
41,NJ,41,0.012076735472246192,0.0298872478313843,0.009504270230758394
