,region,forcing_duration,initial_intensity_factor,day,consumption
111,US.NJ,80,1.0,6,0.0
112,US.NJ,80,1.0,7,-0.0042143999182009395
113,US.NJ,80,1.0,8,0.022044732531090183
114,US.NJ,80,1.0,9,0.03449095653986767
115,US.NJ,80,1.0,10,0.06126499491629911
116,US.NJ,80,1.0,11,0.06785952891801283
117,US.NJ,80,1.0,12,0.07213541295878478
118,US.NJ,80,1.0,13,0.06719415365916692
119,US.NJ,80,1.0,14,0.05913866376656696
120,US.NJ,80,1.0,15,0.046074451954702944
121,US.NJ,80,1.0,16,0.023397446159112434
122,US.NJ,80,1.0,17,-0.014225865259631654
123,US.NJ,80,1.0,18,-0.044154095762150014
124,US.NJ,80,1.0,19,-0.08818881037740978
125,US.NJ,80,1.0,20,-0.1237270737420193
126,US.NJ,80,1.0,21,-0.17050459695294728
127,US.NJ,80,1.0,22,-0.21847964459408287
128,US.NJ,80,1.0,23,-0.2685792613016269
129,US.NJ,80,1.0,24,-0.32071924466410273
130,US.NJ,80,1.0,25,-0.37380194261823485
131,US.NJ,80,1.0,26,-0.4263590362820091
132,US.NJ,80,1.0,27,-0.47897654423203484
133,US.NJ,80,1.0,28,-0.5318447714699914
134,US.NJ,80,1.0,29,-0.5836524762580897
135,US.NJ,80,1.0,30,-0.6351343844213098
136,US.NJ,80,1.0,31,-0.6855499175006718
137,US.NJ,80,1.0,32,-0.7346474122350899
138,US.NJ,80,1.0,33,-0.783700225570283
139,US.NJ,80,1.0,34,-0.8298950655766468
140,US.NJ,80,1.0,35,-0.8756737392549341
141,US.NJ,80,1.0,36,-0.9194452741357328
142,US.NJ,80,1.0,37,-0.9602136526060678
143,US.NJ,80,1.0,38,-0.9970340833331703
144,US.NJ,80,1.0,39,-1.0307310325297192
145,US.NJ,80,1.0,40,-1.0618228673579977
146,US.NJ,80,1.0,41,-1.0910904424677903
147,US.NJ,80,1.0,42,-1.1188856710764639
148,US.NJ,80,1.0,43,-1.1352446011614892
149,US.NJ,80,1.0,44,-1.135191801592561
150,US.NJ,80,1.0,45,-1.113334038691105
151,US.NJ,80,1.0,46,-1.0779035141369908
152,US.NJ,80,1.0,47,-1.0359226335279748
153,US.NJ,80,1.0,48,-0.9845082509159608
154,US.NJ,80,1.0,49,-0.931797289616898
155,US.NJ,80,1.0,50,-0.8655525212934889
156,US.NJ,80,1.0,51,-0.7998371331533249
157,US.NJ,80,1.0,52,-0.7353331773155447
158,US.NJ,80,1.0,53,-0.6721963464303204
159,US.NJ,80,1.0,54,-0.6120971584439472
160,US.NJ,80,1.0,55,-0.5596176593790636
161,US.NJ,80,1.0,56,-0.5057615326978682
162,US.NJ,80,1.0,57,-0.4567400592736637
163,US.NJ,80,1.0,58,-0.40840554662933126
164,US.NJ,80,1.0,59,-0.3646075175667507
165,US.NJ,80,1.0,60,-0.3280054593118198
166,US.NJ,80,1.0,61,-0.29373860201500346
167,US.NJ,80,1.0,62,-0.2645639138703193
168,US.NJ,80,1.0,63,-0.23630412457300576
169,US.NJ,80,1.0,64,-0.21275325129943568
170,US.NJ,80,1.0,65,-0.18196034132499372
171,US.NJ,80,1.0,66,-0.15596715759831348
172,US.NJ,80,1.0,67,-0.1264170827687594
173,US.NJ,80,1.0,68,-0.09875822682496871
174,US.NJ,80,1.0,69,-0.07045016903020063
175,US.NJ,80,1.0,70,-0.0458511708217868
176,US.NJ,80,1.0,71,-0.023245718196462928
177,US.NJ,80,1.0,72,-0.0013600136876124047
178,US.NJ,80,1.0,73,0.02081511301128547
179,US.NJ,80,1.0,74,0.039180300852126315
180,US.NJ,80,1.0,75,0.05797940171763383
181,US.NJ,80,1.0,76,0.07150465005141271
182,US.NJ,80,1.0,77,0.08524820792583654
183,US.NJ,80,1.0,78,0.09640962144707999
184,US.NJ,80,1.0,79,0.10603047066897187
185,US.NJ,80,1.0,80,0.11369030991821294
186,US.NJ,80,1.0,81,0.12204585743249563
187,US.NJ,80,1.0,82,0.1272920200830363
188,US.NJ,80,1.0,83,0.13117231641195382
189,US.NJ,80,1.0,84,0.13381865094426182
190,US.NJ,80,1.0,85,0.13601068263029426
191,US.NJ,80,1.0,86,0.13773890880628414
192,US.NJ,80,1.0,87,0.13870975379997041
193,US.NJ,80,1.0,88,0.13894555831097666
194,US.NJ,80,1.0,89,0.13901522353481077
195,US.NJ,80,1.0,90,0.13860679778716634
196,US.NJ,80,1.0,91,0.13782009050342658
197,US.NJ,80,1.0,92,0.13718385255137022
198,US.NJ,80,1.0,93,0.13583963468235538
199,US.NJ,80,1.0,94,0.13383318813189327
200,US.NJ,80,1.0,95,0.1321132689202642
201,US.NJ,80,1.0,96,0.13049385139107805
202,US.NJ,80,1.0,97,0.12838929455700754
203,US.NJ,80,1.0,98,0.12696295101761734
204,US.NJ,80,1.0,99,0.12504794400665098
205,US.NJ,80,1.0,100,0.12339825640279578
206,US.NJ,80,1.0,101,0.1220325788758414
207,US.NJ,80,1.0,102,0.12033349000666327
208,US.NJ,80,1.0,103,0.11901696201883638
209,US.NJ,80,1.0,104,0.11754537069630366
210,US.NJ,100,1.0,0,0.0
211,US.NJ,100,1.0,1,0.0
212,US.NJ,100,1.0,2,0.0
213,US.NJ,100,1.0,3,0.0
214,US.NJ,100,1.0,4,0.0
215,US.NJ,100,1.0,5,0.0
216,US.NJ,100,1.0,6,0.0
217,US.NJ,100,1.0,7,-0.004034604485059212
218,US.NJ,100,1.0,8,0.022287459512382313
219,US.NJ,100,1.0,9,0.03480215304558776
220,US.NJ,100,1.0,10,0.06196781444633981
221,US.NJ,100,1.0,11,0.06942973397654484
222,US.NJ,100,1.0,12,0.07484782561666403
223,US.NJ,100,1.0,13,0.07029265136511142
224,US.NJ,100,1.0,14,0.06414178477802679
225,US.NJ,100,1.0,15,0.053211896422533655
226,US.NJ,100,1.0,16,0.03228879287457964
227,US.NJ,100,1.0,17,-0.004742521470479932
228,US.NJ,100,1.0,18,-0.03663062917781401
229,US.NJ,100,1.0,19,-0.08083972711308007
230,US.NJ,100,1.0,20,-0.12003280306948083
231,US.NJ,100,1.0,21,-0.17237699930580108
232,US.NJ,100,1.0,22,-0.21990139413046172
233,US.NJ,100,1.0,23,-0.27680932330885755
234,US.NJ,100,1.0,24,-0.33389616687874435
235,US.NJ,100,1.0,25,-0.3937016533297699
236,US.NJ,100,1.0,26,-0.45331098214513865
237,US.NJ,100,1.0,27,-0.5143451441427582
238,US.NJ,100,1.0,28,-0.5772024960225441
239,US.NJ,100,1.0,29,-0.6391734570462826
240,US.NJ,100,1.0,30,-0.7022943033182738
241,US.NJ,100,1.0,31,-0.7660104191044459
242,US.NJ,100,1.0,32,-0.8288995514160735
243,US.NJ,100,1.0,33,-0.890838417350237
244,US.NJ,100,1.0,34,-0.9505082863149439
245,US.NJ,100,1.0,35,-1.0088807584824777
246,US.NJ,100,1.0,36,-1.0653708851125598
247,US.NJ,100,1.0,37,-1.1194464541022575
248,US.NJ,100,1.0,38,-1.1711513916721872
249,US.NJ,100,1.0,39,-1.2200062852883775
250,US.NJ,100,1.0,40,-1.266366257677165
251,US.NJ,100,1.0,41,-1.3088285016981782
252,US.NJ,100,1.0,42,-1.3501501114085102
253,US.NJ,100,1.0,43,-1.3877497605651379
254,US.NJ,100,1.0,44,-1.413954771882986
255,US.NJ,100,1.0,45,-1.426666567025059
256,US.NJ,100,1.0,46,-1.4204301764640048
257,US.NJ,100,1.0,47,-1.3948642979494164
258,US.NJ,100,1.0,48,-1.3606635817097312
259,US.NJ,100,1.0,49,-1.3281662966160512
260,US.NJ,100,1.0,50,-1.2831246142984476
261,US.NJ,100,1.0,51,-1.2303604129096257
262,US.NJ,100,1.0,52,-1.1629911836834261
263,US.NJ,100,1.0,53,-1.087790563807689
264,US.NJ,100,1.0,54,-1.0182808438333968
265,US.NJ,100,1.0,55,-0.9494246050553712
266,US.NJ,100,1.0,56,-0.8753051491772856
267,US.NJ,100,1.0,57,-0.8079070343704697
268,US.NJ,100,1.0,58,-0.7376848034077454
269,US.NJ,100,1.0,59,-0.6764817331348483
270,US.NJ,100,1.0,60,-0.6129720957582241
271,US.NJ,100,1.0,61,-0.5593269785580501
272,US.NJ,100,1.0,62,-0.5124146559709386
273,US.NJ,100,1.0,63,-0.47242222348959917
274,US.NJ,100,1.0,64,-0.4326458350131457
275,US.NJ,100,1.0,65,-0.39305484287762704
276,US.NJ,100,1.0,66,-0.3598885324952894
277,US.NJ,100,1.0,67,-0.3335792436021223
278,US.NJ,100,1.0,68,-0.304451879981682
279,US.NJ,100,1.0,69,-0.26935759868945697
280,US.NJ,100,1.0,70,-0.234977590469021
281,US.NJ,100,1.0,71,-0.2013415590111145
282,US.NJ,100,1.0,72,-0.16932381231453686
283,US.NJ,100,1.0,73,-0.13237040722612337
284,US.NJ,100,1.0,74,-0.10175899183659798
285,US.NJ,100,1.0,75,-0.07442712821713604
286,US.NJ,100,1.0,76,-0.051076377266767725
287,US.NJ,100,1.0,77,-0.023526392901318527
288,US.NJ,100,1.0,78,-0.0029863536871066465
289,US.NJ,100,1.0,79,0.020388122456926894
290,US.NJ,100,1.0,80,0.036164117611181545
291,US.NJ,100,1.0,81,0.05323524402691682
292,US.NJ,100,1.0,82,0.065118356542615
293,US.NJ,100,1.0,83,0.07881389764576863
294,US.NJ,100,1.0,84,0.08720745581516365
295,US.NJ,100,1.0,85,0.09711269270327172
296,US.NJ,100,1.0,86,0.102958089555516
297,US.NJ,100,1.0,87,0.11004153875502354
298,US.NJ,100,1.0,88,0.11409023990684997
299,US.NJ,100,1.0,89,0.11705475634673501
300,US.NJ,100,1.0,90,0.12004010312907099
301,US.NJ,100,1.0,91,0.12152780492791226
302,US.NJ,100,1.0,92,0.12313727927251161
303,US.NJ,100,1.0,93,0.12360347618138867
304,US.NJ,100,1.0,94,0.1232268937971126
305,US.NJ,100,1.0,95,0.12290506185972383
306,US.NJ,100,1.0,96,0.12209418886148793
307,US.NJ,100,1.0,97,0.12070214301587168
308,US.NJ,100,1.0,98,0.11937623822737553
309,US.NJ,100,1.0,99,0.11765524917943804
310,US.NJ,100,1.0,100,0.11537240726937625
311,US.NJ,100,1.0,101,0.11287880760448843
312,US.NJ,100,1.0,102,0.11030497021566887
313,US.NJ,100,1.0,103,0.10758160746839884
314,US.NJ,100,1.0,104,0.10442974380959757
315,US.NJ,120,1.0,0,0.0
316,US.NJ,120,1.0,1,0.0
317,US.NJ,120,1.0,2,0.0
318,US.NJ,120,1.0,3,0.0
319,US.NJ,120,1.0,4,0.0
320,US.NJ,120,1.0,5,0.0
321,US.NJ,120,1.0,6,0.0
322,US.NJ,120,1.0,7,-0.003904650838071344
323,US.NJ,120,1.0,8,0.022603438815771426
324,US.NJ,120,1.0,9,0.035280558674810614
325,US.NJ,120,1.0,10,0.062434829465329855
326,US.NJ,120,1.0,11,0.0696266467907769
327,US.NJ,120,1.0,12,0.07316119719402714
328,US.NJ,120,1.0,13,0.067088051068942
329,US.NJ,120,1.0,14,0.061115217831630986
330,US.NJ,120,1.0,15,0.0523174503283208
331,US.NJ,120,1.0,16,0.03341224687258837
332,US.NJ,120,1.0,17,0.00032806216063718807
333,US.NJ,120,1.0,18,-0.03099510903875613
334,US.NJ,120,1.0,19,-0.07714891767570675
335,US.NJ,120,1.0,20,-0.1163914578289793
336,US.NJ,120,1.0,21,-0.16899801568962536
337,US.NJ,120,1.0,22,-0.2210161006432898
338,US.NJ,120,1.0,23,-0.2831739054335536
339,US.NJ,120,1.0,24,-0.34562169879781557
340,US.NJ,120,1.0,25,-0.41188383622852154
341,US.NJ,120,1.0,26,-0.4778960095498608
