,import_from_US,difference,relative_loss
IDN,17555066.0,11322855.999969482,0.004756731724087082
PAK,1388047.25,3257384.9999923706,0.004747591147369334
IND,27853478.0,24826572.999938965,0.0046563260107879145
TCD,60414.1484375,93089.99999976158,0.004655474972836693
UGA,108563.5703125,318343.9999990463,0.004491007939977365
SLE,47032.015625,45315.99999988079,0.00441347622179844
NER,106888.6171875,105053.99999952316,0.004157340115296115
IRL,33238760.0,2147578.9999923706,0.004097045516049391
AFG,89097.5078125,223106.0,0.004040069816113601
JPN,137048960.0,70419188.99975586,0.003984061247308546
BRA,49181232.0,24143273.99987793,0.0038885497551710557
DJI,17768.50390625,17545.999999940395,0.0037890114069405456
MLI,77685.6015625,122583.99999952316,0.003721909434739601
LBR,29339.35546875,13778.999999940395,0.0036990312572759976
BEN,36981.7109375,87763.99999952316,0.0036487243399330183
LBY,42847.0546875,480628.99999809265,0.0035348227572340463
RWA,100525.234375,63596.99999976158,0.0031978996652304303
MNE,62730.3984375,51715.99999976158,0.003142591672955497
UZB,527526.4375,423988.99999809265,0.0030328094775988745
PRK,7244.0625,114115.99999952316,0.00296845432772308
GMB,13441.0615234375,9595.999999940395,0.002574104798114263
CAF,9708.623046875,14146.0,0.00223436279711553
STP,5590.966796875,2161.999999985099,0.0022176685820385345
MOZ,57994.8828125,101405.0,0.0022070568473253616
ERI,31132.8828125,11565.99999988079,0.0014605822492352871
BDI,18608.08984375,9431.99999988079,0.0012389582134675337
MMR,24699.76171875,95322.99999809265,0.0007112861522218239
TJK,62084.6328125,12374.999999761581,0.0006366404988522589
SOM,3151.485595703125,1172.9999999403954,0.00032778830374446954
LIE,53825.69921875,4009.9999997615814,0.00023127413617540782
MCO,39438.09375,1933.9999997615814,0.00011093045237942079
PHL,10071014.0,-2256472.000015259,-0.003071550213318286
CAN,377091072.0,-267454352.00006104,-0.050897911211500446
MEX,182933552.0,-209172209.00006104,-0.06202982411335212
