,export_to_US,difference,relative_loss
ESP,23347780.0,30103199.999938965,0.006411029844244354
CUB,4011.55810546875,1352373.9999961853,0.006348109694198634
FRA,64796984.0,48216313.99987793,0.006313188248263657
MWI,119934.28125,121440.99999976158,0.0062598834686511395
SYR,188239.9375,1204307.9999961853,0.0062368716952754255
CMR,247020.46875,517422.9999990463,0.006142811669773707
KAZ,2291498.5,2790556.9999923706,0.006122575714795353
VEN,97840280.0,6623817.999984741,0.006105026494163113
SEN,34988.9453125,403593.9999990463,0.005937942863587509
IRQ,8388544.5,3236792.9999923706,0.005727890659024126
DEU,174664544.0,50438952.99987793,0.005638019079445833
IRN,317658.375,6588721.999984741,0.005217268233281835
CPV,3737.264892578125,37194.99999988079,0.005171912486945374
BGD,4156773.0,1754861.0,0.005076570906270561
ITA,69739640.0,31213170.0,0.005072060862709726
BFA,9667.72265625,143508.99999952316,0.005023084948097001
LAO,13325.24609375,104974.99999976158,0.004992827367678032
WSM,10372.7734375,9986.999999970198,0.004936883084249999
EGY,2677884.5,4423966.999984741,0.004757118241549563
IDN,19790500.0,11322855.999969482,0.004756731724087082
PAK,4492089.0,3257384.9999923706,0.004747591147369334
IND,53624496.0,24826572.999938965,0.0046563260107879145
TCD,255720.125,93089.99999976158,0.004655474972836693
UGA,53664.453125,318343.9999990463,0.004491007939977365
SLE,37436.21484375,45315.99999988079,0.00441347622179844
NER,12922.87890625,105053.99999952316,0.004157340115296115
IRL,28172480.0,2147578.9999923706,0.004097045516049391
AFG,3703.399169921875,223106.0,0.004040069816113601
JPN,189553216.0,70419188.99975586,0.003984061247308546
BRA,47441944.0,24143273.99987793,0.0038885497551710557
DJI,4742.044921875,17545.999999940395,0.0037890114069405456
MLI,39505.484375,122583.99999952316,0.003721909434739601
LBR,103604.7265625,13778.999999940395,0.0036990312572759976
BEN,7384.7275390625,87763.99999952316,0.0036487243399330183
LBY,2624.939208984375,480628.99999809265,0.0035348227572340463
RWA,16872.72265625,63596.99999976158,0.0031978996652304303
MNE,18746.5390625,51715.99999976158,0.003142591672955497
UZB,51614.8359375,423988.99999809265,0.0030328094775988745
PRK,2026.8111572265625,114115.99999952316,0.00296845432772308
GMB,2198.900390625,9595.999999940395,0.002574104798114263
CAF,3452.59716796875,14146.0,0.00223436279711553
STP,2246.03955078125,2161.999999985099,0.0022176685820385345
MOZ,27065.05078125,101405.0,0.0022070568473253616
ERI,7229.68017578125,11565.99999988079,0.0014605822492352871
BDI,6113.89453125,9431.99999988079,0.0012389582134675337
MMR,312046.40625,95322.99999809265,0.0007112861522218239
TJK,4504.71240234375,12374.999999761581,0.0006366404988522589
SOM,1533.486572265625,1172.9999999403954,0.00032778830374446954
LIE,31205.673828125,4009.9999997615814,0.00023127413617540782
MCO,14036.236328125,1933.9999997615814,0.00011093045237942079
PHL,22116212.0,-2256472.000015259,-0.003071550213318286
CAN,477152928.0,-267454352.00006104,-0.050897911211500446
MEX,283285824.0,-209172209.00006104,-0.06202982411335212
