,region,forcing_duration,initial_intensity_factor,day,consumption
0,US.NJ,60,0.9,0,0.0
1,US.NJ,60,0.9,1,0.0
2,US.NJ,60,0.9,2,0.0
3,US.NJ,60,0.9,3,0.0
4,US.NJ,60,0.9,4,0.0
5,US.NJ,60,0.9,5,0.0
6,US.NJ,60,0.9,6,0.0
7,US.NJ,60,0.9,7,-0.0024579174770722467
8,US.NJ,60,0.9,8,0.02695219758932499
9,US.NJ,60,0.9,9,0.04024176727519535
10,US.NJ,60,0.9,10,0.06912810306614059
11,US.NJ,60,0.9,11,0.07848671652681549
12,US.NJ,60,0.9,12,0.08519886959206247
13,US.NJ,60,0.9,13,0.0805927207864654
14,US.NJ,60,0.9,14,0.0629734605861687
15,US.NJ,60,0.9,15,0.047922814456158314
16,US.NJ,60,0.9,16,0.033184308805100926
17,US.NJ,60,0.9,17,0.005532123605411776
18,US.NJ,60,0.9,18,-0.013021921811484649
19,US.NJ,60,0.9,19,-0.043889720328271764
20,US.NJ,60,0.9,20,-0.07150024484305906
21,US.NJ,60,0.9,21,-0.10577943672330781
22,US.NJ,60,0.9,22,-0.1397452924252196
23,US.NJ,60,0.9,23,-0.17399931168619043
24,US.NJ,60,0.9,24,-0.2089412986318373
25,US.NJ,60,0.9,25,-0.24360179276248228
26,US.NJ,60,0.9,26,-0.27804120836439905
27,US.NJ,60,0.9,27,-0.31260535429479264
28,US.NJ,60,0.9,28,-0.3462146398447219
29,US.NJ,60,0.9,29,-0.37968742686665946
30,US.NJ,60,0.9,30,-0.4108888884518769
31,US.NJ,60,0.9,31,-0.44132548000055394
32,US.NJ,60,0.9,32,-0.46980559264803157
33,US.NJ,60,0.9,33,-0.4975782288309083
34,US.NJ,60,0.9,34,-0.52357814623325
35,US.NJ,60,0.9,35,-0.5489574956390464
36,US.NJ,60,0.9,36,-0.5724849583766956
37,US.NJ,60,0.9,37,-0.5933252440072478
38,US.NJ,60,0.9,38,-0.6132663636774893
39,US.NJ,60,0.9,39,-0.6310693839984838
40,US.NJ,60,0.9,40,-0.6466295239424991
41,US.NJ,60,0.9,41,-0.6530924051454501
42,US.NJ,60,0.9,42,-0.6483264102075115
43,US.NJ,60,0.9,43,-0.6311875065144079
44,US.NJ,60,0.9,44,-0.5998000822043381
45,US.NJ,60,0.9,45,-0.5627739282462407
46,US.NJ,60,0.9,46,-0.5184224162174567
47,US.NJ,60,0.9,47,-0.4738982829520455
48,US.NJ,60,0.9,48,-0.4326774266503408
49,US.NJ,60,0.9,49,-0.3903022798919964
50,US.NJ,60,0.9,50,-0.3467311819921548
51,US.NJ,60,0.9,51,-0.3020624320290155
52,US.NJ,60,0.9,52,-0.2641824228252876
53,US.NJ,60,0.9,53,-0.22568895688993562
54,US.NJ,60,0.9,54,-0.19368492927084313
55,US.NJ,60,0.9,55,-0.16570682158316696
56,US.NJ,60,0.9,56,-0.1393388804870943
57,US.NJ,60,0.9,57,-0.1187238897989995
58,US.NJ,60,0.9,58,-0.10053818273355608
59,US.NJ,60,0.9,59,-0.08448415599945358
60,US.NJ,60,0.9,60,-0.06616805476618026
61,US.NJ,60,0.9,61,-0.05038350092135824
62,US.NJ,60,0.9,62,-0.03144343338794542
63,US.NJ,60,0.9,63,-0.012074550285257057
64,US.NJ,60,0.9,64,0.0048350937778440795
65,US.NJ,60,0.9,65,0.019897885696629203
66,US.NJ,60,0.9,66,0.035483512917666715
67,US.NJ,60,0.9,67,0.047814509261745464
68,US.NJ,60,0.9,68,0.06196322044331737
69,US.NJ,60,0.9,69,0.07254623010526373
70,US.NJ,60,0.9,70,0.08358662625935764
71,US.NJ,60,0.9,71,0.0913453939023201
