State,exposed_gdp,gdp,exposure
CT,152759831.0,244114394,0.6257715020278567
MA,372194162.0,444478159,0.8373733432422716
NJ,359704879.0,519569023,0.6923139430504501
NY,1061741473.0,1323400759,0.80228265382157
PA,124580639.0,640663072,0.194455782524016
RI,51607440.0,51607440,1.0
VA,3950079.0,445120736,0.00887417430941703
