State,Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,"Mining, quarrying, and oil and gas extraction",1284.6,1315.2,1183.0,1266.1,1379.7,1207.9,1588.1,1960.5,2747.1,2895.3,3432.0,3849.0,2819.8,3034.4,2949.5,2891.8,2760.6,2490.3,1901.4,1566.2,1985.1,2306.2,2364.8
AL,Utilities,3106.7,3009.5,3323.8,3374.9,3572.1,3443.6,3622.8,3913.7,3826.1,4377.3,4573.7,4718.7,5052.1,5582.1,5820.1,5688.9,5679.8,5857.4,5995.0,6202.8,6065.6,6164.4,6280.0
AL,Construction,4615.0,5287.5,5681.3,6045.1,6200.0,6208.3,6454.7,6830.1,7726.9,8469.6,9165.7,8367.9,7411.9,6809.5,6615.1,6878.6,6714.5,6675.7,6782.9,7199.3,7465.4,8055.4,8618.5
AL,Manufacturing,19601.1,20565.0,21448.7,21695.9,21191.9,21249.6,21743.9,26408.3,28007.6,29512.1,29039.8,29004.1,25248.6,27422.0,31279.7,31920.9,33622.9,33283.5,33468.0,34422.2,35370.8,37786.1,38400.4
AL,Wholesale trade,6851.4,7049.5,7161.1,7500.6,7230.9,7241.3,7502.9,8150.8,8954.0,9519.7,9887.3,10342.7,9749.6,10085.7,10293.0,10540.6,11068.6,11299.2,11553.5,11986.4,12461.8,13017.5,13439.8
AL,Retail trade,8592.6,9260.4,9519.2,9718.6,9435.4,9832.0,10376.5,10802.1,11806.7,12293.6,12391.7,12139.7,11768.2,11962.0,12140.7,12550.3,12844.4,12934.0,13347.1,13963.7,14168.0,14669.2,15133.4
AL,Transportation and warehousing,2758.8,3174.2,3222.0,3376.7,3233.1,3251.0,3426.6,3824.9,4168.0,4524.3,4558.5,4784.1,4413.6,4682.3,4823.3,4798.6,4819.9,4978.6,5180.5,5335.7,5697.1,6274.6,6651.0
AL,Information,3538.5,3537.9,3669.5,3601.3,4209.1,4517.5,4361.3,4794.6,5181.8,5253.3,4908.5,5044.3,4671.4,4584.2,4479.1,4249.1,4391.9,4262.4,4437.3,4357.1,4361.6,4518.4,4708.9
AL,Finance and insurance,5857.4,5828.6,6542.0,7242.5,7462.0,8572.5,8977.9,9615.1,10042.8,9707.9,9599.7,7824.1,8641.1,9168.2,8720.1,10569.2,11132.3,12580.5,12910.9,12296.0,12424.1,13560.1,13310.5
AL,Real estate and rental and leasing,9807.1,10122.9,11062.6,11731.2,12832.0,13596.9,13336.1,13842.8,14158.5,15134.5,16378.6,17305.9,17813.3,18610.0,19848.2,20163.8,20467.0,20706.5,21763.4,22432.2,22832.8,23123.3,24572.0
AL,"Professional, scientific, and technical services",4671.5,5301.9,5654.7,5813.2,6189.7,6696.6,7401.4,7956.1,8264.2,9022.5,9562.2,10537.3,10593.5,10660.9,10948.6,11081.9,11260.5,11355.5,11816.1,12259.3,13030.3,13771.4,14420.6
